,地域コード,都道府県,市,世帯人員,食料（合計）,01　穀類,米,食パン,他のパン,生うどん・そば,乾うどん・そば,パスタ,中華麺,カップ麺,即席麺,他の麺類,小麦粉,もち,他の穀類のその他,02　魚介類,まぐろ,あじ,いわし,かつお,かれい,さけ,さば,さんま,たい,ぶり,いか,たこ,えび,かに,他の鮮魚,さしみ盛合わせ,あさり,しじみ,かき（貝）,ほたて貝,他の貝,塩さけ,たらこ,しらす干し,干しあじ,他の塩干魚介,揚げかまぼこ,ちくわ,かまぼこ,他の魚肉練製品,かつお節・削り節,魚介の漬物,魚介のつくだ煮,魚介の缶詰,他の魚介加工品のその他,03　肉類,牛肉,豚肉,鶏肉,合いびき肉,他の生鮮肉,ハム,ソーセージ,ベーコン,他の加工肉,04　乳卵類,牛乳,粉ミルク,ヨーグルト,バター,チーズ,他の乳製品,卵,05　野菜・海藻,キャベツ,ほうれんそう,はくさい,ねぎ,レタス,ブロッコリー,もやし,他の葉茎菜,さつまいも,じゃがいも,さといも,だいこん,にんじん,ごぼう,たまねぎ,れんこん,たけのこ,他の根菜,さやまめ,かぼちゃ,きゅうり,なす,トマト,ピーマン,生しいたけ,しめじ,えのきたけ,他のきのこ,他の野菜のその他,豆類,干ししいたけ,干しのり,わかめ,こんぶ,他の乾物・海藻,豆腐,油揚げ・がんもどき,納豆,他の大豆製品,こんにゃく,梅干し,だいこん漬,はくさい漬,他の野菜の漬物,こんぶつくだ煮,他の野菜・海藻の佃煮,他の野菜・海藻加工品のその他,06　果物,りんご,みかん,オレンジ,他の柑きつ類,梨,ぶどう,柿,桃,すいか,メロン,いちご,バナナ,キウイフルーツ,他の果物,果物加工品,07　油脂・調味料,食用油,マーガリン,食塩,しょう油,みそ,砂糖,酢,ソース,ケチャップ,マヨネーズ・マヨネーズ風調味料,ドレッシング,ジャム,カレールウ,乾燥スープ,風味調味料,ふりかけ,つゆ・たれ,他の調味料,08　菓子類,ようかん,まんじゅう,他の和生菓子,カステラ,ケーキ,ゼリー,プリン,他の洋生菓子,せんべい,ビスケット,スナック菓子,キャンデー,チョコレート,チョコレート菓子,アイスクリーム・シャーベット,他の菓子,09　調理食品,弁当,すし（弁当）,おにぎり・その他,調理パン,他の主食的調理食品,うなぎのかば焼き,サラダ,コロッケ,カツレツ,天ぷら・フライ,しゅうまい,ぎょうざ,やきとり,ハンバーグ,冷凍調理食品,そうざい材料セット,他の調理食品のその他,10　飲料,緑茶,紅茶,他の茶葉,茶飲料,コーヒー,コーヒー飲料,ココア・ココア飲料,果実・野菜ジュース,炭酸飲料,乳酸菌飲料,乳飲料,ミネラルウォーター,スポーツドリンク,他の飲料のその他,11　酒類,清酒,焼酎,ビール,ウイスキー,ワイン,発泡酒・ビール風アルコール飲料,チューハイ・カクテル,他の酒,12　外食,日本そば・うどん,中華そば,他の麺類外食,すし（外食）,和食,中華食,洋食,焼肉,ハンバーガー,他の主食的外食,喫茶代,飲酒代,学校給食
0,R00000,全国,全国,2.97,960026,79312,23815,9860,21531,3444,2263,1271,4184,4753,1946,700,650,1751,3143,75070,5278,1094,490,1382,937,4926,949,793,952,2924,1815,1318,2936,1567,6797,4585,756,387,812,1066,402,2185,2103,1568,666,7122,2196,1673,3074,1462,873,2997,981,3015,2989,93129,22241,31030,16249,2753,2726,5076,7536,2682,2835,47073,15340,690,13453,1196,6240,570,9584,108101,3006,2084,1338,3212,2525,2324,1024,6807,1059,2458,790,1717,2479,1048,3323,1000,714,3505,2002,1565,3446,2059,8091,2273,1994,1846,1257,2522,4260,464,406,2973,1603,890,2951,5259,2951,4375,892,1820,1465,1036,545,5108,1161,406,2068,39316,4748,4303,647,2371,1674,2902,1047,1017,1303,984,3388,5030,2043,4462,3396,44947,4115,677,453,1781,2223,1127,962,773,644,1293,2222,1279,1431,3616,2481,1667,5092,13111,85640,669,1024,8500,781,6950,2133,1564,7804,5769,3882,4906,2262,6726,1757,9828,21087,127937,15243,13513,4633,5458,14574,2355,5191,1934,1999,11232,1039,2095,2388,1358,8124,3245,33558,57657,3825,765,1552,7564,6495,4796,407,7741,5938,4049,2244,3589,1436,7253,42442,5586,6320,10964,1936,3520,9229,3785,1101,159405,5867,6447,2225,14243,21324,4565,11489,6660,4592,49538,6705,16053,9697
1,R01100,北海道,札幌市,2.91,939747,82676,31228,9075,18168,3162,2082,1266,4152,5189,1609,726,664,1936,3420,84409,4899,183,282,936,1672,7431,760,1086,522,1266,2087,1415,3402,1968,8735,3878,685,544,840,2408,807,3096,2409,848,235,10060,1538,1442,3788,1258,649,5102,592,2964,4622,88924,12447,32940,16186,1781,4944,4449,8166,3460,4553,43623,13070,1140,11120,1659,7476,526,8632,109625,3100,2643,1640,3324,2494,2268,1085,8980,1366,2724,360,1930,2435,1038,3781,650,919,3655,1540,1913,3294,2323,8235,2686,1942,1636,974,2631,3737,480,556,2731,1238,843,2555,4645,2222,4718,691,1976,1834,800,299,5184,978,315,2257,40236,4931,4650,646,2634,789,2436,1456,822,1433,2902,2462,5343,2084,4087,3561,42187,3839,480,466,1574,1976,974,828,717,665,1293,1791,1008,1530,2950,2510,1461,5362,12762,87897,609,621,10137,726,7980,1954,1289,8678,4539,4001,6817,2426,8105,2220,9755,18038,98189,11057,10595,4412,4818,9993,1391,3680,1083,1173,10064,795,1847,2629,996,6324,1759,25572,55654,3170,852,1327,6686,7773,4387,339,7636,7710,2659,1972,3154,1429,6561,56700,6446,5632,15922,3665,5301,13667,4493,1573,149627,5947,7033,1836,17952,23564,4305,16732,7230,3742,19689,5354,22474,13769
2,R02201,青森県,青森市,2.93,897288,73381,23652,8492,16749,2964,2224,1114,5271,6088,2039,554,593,1387,2253,91038,5207,668,771,1229,1809,6706,699,1191,605,1955,3027,1136,2843,1679,8906,2868,460,918,372,3812,896,3284,3505,860,459,12082,1535,1722,2806,1188,546,6731,527,3757,4279,85124,14650,31114,14176,1337,3069,4487,8926,3219,4146,41247,13239,739,12230,1142,5625,476,7798,110936,3278,2525,1192,2902,2572,2565,1407,7751,857,1975,261,1749,2330,1263,3645,670,672,4368,2154,1278,3238,2661,8466,2039,2206,1715,1060,3161,3039,274,294,2547,1963,1298,3053,4850,2439,5537,950,2518,1961,1217,458,4814,1186,268,2312,39627,9494,3546,668,2096,768,1714,1124,702,1148,1798,2597,5192,1979,3682,3120,42268,3894,723,480,1584,1958,1045,1022,754,587,1205,1889,1146,1518,3275,1870,1359,5460,12499,79745,598,435,7730,489,6786,2058,1542,8174,5246,3228,5636,1916,5471,1901,9142,19391,115090,15279,13034,3462,5205,11655,1859,4613,1854,2098,11253,719,1669,4000,1547,7169,1100,28575,59434,2205,388,1339,7728,7013,5704,354,9807,8044,3403,2043,2038,1483,7885,54721,6503,8182,13190,3829,3702,13399,4714,1204,104675,4618,9420,819,13418,14808,3265,8383,6743,3498,13999,2848,11835,11021
3,R03201,岩手県,盛岡市,3.11,950535,80606,25033,8472,20153,3349,2475,1305,5991,5985,1889,898,644,1431,2980,78745,6270,466,404,2184,1182,5659,651,1622,314,1986,1778,1030,2094,712,6433,3513,641,479,765,1846,509,4151,2128,928,464,9799,1461,1674,2922,1132,637,4113,702,3588,4506,78211,11041,29562,14242,1478,2918,4913,8229,2946,2883,52656,16997,750,17361,1102,7265,724,8458,119016,3348,3222,1244,2925,2128,3157,1253,8341,1111,2087,826,2102,2635,1294,3426,757,583,3661,1925,1737,3509,2139,7136,2328,2124,2134,1366,3534,3693,337,402,3003,2609,1321,3291,6939,3158,6497,866,2314,1634,1319,494,5221,1155,311,2417,43401,8976,4246,607,2716,1319,2513,915,671,1258,1031,3506,5425,2427,4564,3227,48429,4444,709,476,1741,2721,1041,928,630,701,1235,2009,1297,1495,4667,2387,1734,5981,14233,88573,783,585,7525,447,7078,3223,1548,7048,6493,3855,4717,2205,6715,1759,10620,23972,119747,14375,12132,4463,4345,12171,1813,4773,1612,2332,11116,745,1921,2464,1479,8279,3471,32256,59845,3333,626,1603,7278,7334,4425,478,9722,6717,3300,2352,2982,1844,7852,51482,7262,6529,13733,1569,4039,11867,5088,1396,129824,5653,8977,1972,12220,8996,1841,6375,5819,3297,42189,4609,17910,9967
4,R04100,宮城県,仙台市,3.03,968029,73349,20338,8630,19618,3068,2407,1339,5017,5295,1709,842,635,1542,2909,89873,6574,643,384,3208,1261,5468,593,1213,401,1969,1650,1474,2663,727,8102,4796,766,631,1408,1463,475,3460,1900,1343,449,8359,1780,1112,9964,1511,648,4575,1106,4073,3723,86429,15593,32862,14406,1503,3053,4521,7678,3155,3659,50265,16427,292,14437,1264,7570,638,9637,125021,3116,2744,1389,3046,2176,2655,1269,9413,1097,2475,1043,2092,2694,1289,3207,1066,1147,4228,2606,2037,3874,2525,7680,2582,1980,2127,1334,3806,5704,508,529,2737,2656,1045,3404,5975,3152,5868,929,2208,1601,1197,788,6238,1123,335,2323,44687,5440,4754,712,3013,1937,2436,1327,940,1427,1029,3594,4860,2209,6745,4266,44471,3938,543,439,1748,2382,1053,940,678,623,1066,2075,1271,1423,4001,2455,1560,4958,13319,91333,752,874,10540,760,7413,2211,1571,8590,6042,4308,4919,2372,6762,1985,9707,22524,123489,14196,12312,5341,5489,12261,2000,5733,2176,2402,11912,1041,2030,2332,1533,5344,3817,33570,58714,4724,1086,1717,7219,7158,4088,420,8069,6394,4300,1973,2992,1423,7150,45245,8603,5333,11077,2967,5389,8058,2617,1201,135154,6541,9550,2547,13511,15886,3326,8193,6682,3971,39404,5194,11468,8883
5,R05201,秋田県,秋田市,2.78,910130,67703,19704,6918,17236,3231,3409,1019,5172,5013,1680,554,477,1297,1994,84524,5050,851,660,1586,2285,5151,722,1131,722,2161,2446,918,3022,1300,8769,4855,550,822,431,1442,605,4433,3317,887,448,8685,1430,1415,3102,1115,671,5118,1659,3484,3280,82274,14514,31394,14650,1336,2725,4471,7618,2857,2710,43579,12841,245,13731,971,6102,487,9202,121980,3427,3156,1240,3142,2441,2671,1270,10406,1096,2085,597,1975,2299,1273,3306,632,655,4287,4222,1633,3691,2895,8136,2328,2333,1617,1180,4339,3861,429,347,2747,2163,1049,3744,5407,2496,5641,553,1828,1527,1817,329,6144,805,574,2191,44522,8663,4639,711,2668,1877,2479,857,968,1607,1862,3414,5055,2016,4765,2942,43840,4082,518,446,1886,2964,1217,910,635,549,1220,1642,1162,1447,3359,2255,1604,5675,12269,83968,459,840,8296,436,6545,2301,1491,7477,4570,3094,3779,1882,5702,1228,9130,26737,109129,11669,11527,3569,5194,10035,1366,4442,1473,1907,9192,689,1527,2421,1136,6916,4248,31816,51428,3595,645,1354,6204,6810,3614,321,7971,5617,3542,1643,2433,1287,6392,57364,10815,7629,13900,2784,4779,11840,4689,928,119820,5456,9312,1535,13367,13629,2396,6164,6507,2973,28542,3561,14504,11875
6,R06201,山形県,山形市,3.14,983054,79164,26068,7478,18158,4478,3084,1288,5236,5875,1745,754,604,1920,2473,76106,5565,445,292,2389,1169,4433,449,1000,472,1991,1987,1218,2641,911,4944,3382,630,291,864,1196,327,4398,2894,1009,419,9122,2020,1671,3443,1794,817,3627,933,3825,3536,95707,24762,31607,14275,1497,3810,4172,8342,3309,3936,48068,14711,1091,14927,1087,6406,534,9311,118732,2835,2586,971,3343,2193,2594,1270,9836,804,1967,2037,1665,2216,1359,2835,878,1404,3490,2135,1499,3855,2549,6153,2107,1852,1951,1512,4334,3486,501,483,2543,1847,1254,3573,5578,3242,6072,617,3539,1338,1163,773,6782,1399,312,2001,48115,6453,4347,672,2339,2790,3861,976,1105,1610,1034,3533,4890,1443,9658,3404,45693,4750,458,539,2990,2565,1306,976,703,634,1292,2011,918,1483,3187,2055,1845,5318,12662,92218,821,924,12072,496,7695,2283,1819,8967,7504,4822,4973,2189,7130,1834,10779,17909,123825,14073,12147,4350,4827,13193,1699,5991,1979,2137,13564,772,1582,3129,1620,8552,3374,30837,56930,3275,702,1149,8001,6496,4277,358,8302,7571,3397,2140,2164,1914,7182,46220,5889,5740,11080,3474,3850,10386,4669,1132,152277,7932,14473,2449,17761,19908,5141,15864,7441,4066,20702,4863,19682,11997
7,R07201,福島県,福島市,2.96,937721,73338,23738,7482,17751,2963,2705,1064,4397,5862,1687,919,579,1655,2539,75749,6361,442,334,2835,949,4471,488,902,371,1678,1519,951,2149,1024,4398,4289,788,498,565,1124,272,4027,2487,1555,429,7711,2504,1380,3698,1902,738,4598,1185,3882,3247,75756,10752,32471,12074,991,2109,5557,6631,2751,2419,48274,13745,391,15439,808,5831,509,11552,110874,2970,2160,1162,2526,2033,2435,1114,8007,844,2113,824,1803,2521,1208,2795,688,748,3398,1936,1416,3978,2192,6567,1748,2187,2043,1403,3292,2980,658,245,2707,1979,1043,2942,5831,2983,6773,1154,2114,1654,1282,824,5538,1490,411,2154,48636,6903,4095,756,2802,2830,2589,890,6696,952,527,3477,5312,2059,5377,3370,43528,3813,442,571,1712,2579,1161,1158,637,528,1323,2172,998,1286,3746,2068,1604,5514,12217,91214,875,2381,10071,505,5820,2014,1860,6783,7580,3960,5270,2202,6489,1941,10855,22609,130249,17726,13663,5004,5911,12846,1707,6035,2298,2472,11628,695,1878,2426,1773,8538,6804,28846,60886,3607,526,1544,8501,6227,4660,322,7488,6864,5551,2611,3571,1499,7915,46851,9359,5549,11347,2906,2838,10535,3245,1074,132364,7340,9855,2697,14835,22053,2670,11883,4425,3909,22844,3650,15252,10952
8,R08201,茨城県,水戸市,2.88,924724,69248,19099,8878,18251,3353,2477,1248,4034,4562,1440,653,557,1957,2739,69757,5772,592,379,2634,752,5205,774,1012,504,2134,1357,1035,1847,593,4519,4749,428,1027,576,775,301,2983,2616,2089,662,6135,1716,1075,2970,1629,817,2721,1438,3224,2719,77791,13315,29822,14053,1559,1380,5615,7283,2395,2368,49493,14873,1277,15852,1283,6583,479,9146,103480,2547,1892,1016,2745,2239,2364,801,6168,931,2018,514,1805,2335,895,3027,1035,393,3505,1436,1675,3508,1845,6972,2295,1780,2166,1214,2507,3871,533,241,3041,1827,720,2982,4938,2777,6353,1037,1706,1369,966,552,4927,1403,595,2013,41936,5369,4567,764,2627,2036,2343,860,719,1407,4033,3380,4589,2004,3535,3704,41870,4155,521,448,1694,2235,1060,1075,622,595,1256,2150,1081,1269,3552,2111,1552,4505,11989,92557,1025,1169,9592,989,7504,2191,1740,7809,8054,5054,5136,2121,6963,1899,9942,21369,127164,17948,11669,5512,6840,14323,1975,6217,1861,2368,10998,1017,1896,2708,1660,8399,4557,27215,65712,3802,789,1385,10600,7454,5045,386,8158,6418,4967,2374,5117,1891,7327,32928,6033,3598,9542,1767,3119,5413,2752,703,152788,7361,8219,3178,13067,25020,4915,20723,6079,4653,24749,6585,14846,13393
9,R09201,栃木県,宇都宮市,2.91,964692,76447,21578,10035,19362,3908,2218,1391,4534,4945,1860,742,715,1944,3214,72040,8159,678,362,1652,515,4973,807,1017,444,1820,1551,1300,2175,1304,4467,4129,836,513,679,1037,245,2182,2463,2120,620,6652,2115,1386,2635,1585,848,3520,1008,3460,2784,83666,17362,31084,14388,1758,2056,5142,6915,2852,2110,48497,14366,768,15342,1182,7149,568,9121,113922,3086,1925,1164,2914,2715,2686,1136,6852,1031,2302,813,2280,2768,1176,3309,816,605,4016,1678,1550,3672,2160,9030,2263,2087,1994,1125,2954,4608,417,213,3242,1835,829,2845,5438,2861,5654,1456,1797,1457,910,559,5730,1260,391,2315,40758,4390,5037,751,3325,2406,2452,880,714,1222,881,4357,4971,1870,4248,3256,46445,4579,660,500,1834,1944,1019,975,784,648,1224,2565,1265,1358,3719,2371,1628,5467,13904,87975,969,903,8265,775,7540,2629,2115,7750,7919,5005,4977,2179,6712,1695,10240,18302,132698,17046,12765,5389,7038,14621,2547,6707,2045,2375,13022,916,3764,2619,1550,9177,1373,29744,62921,4073,752,1244,10331,6450,4957,459,7976,6516,4112,2595,3752,2038,7665,42915,6985,6400,9665,2469,4108,7716,4458,1113,156406,7142,9645,3128,15469,23501,4682,18961,4983,5373,31242,6250,14462,11571
10,R10201,群馬県,前橋市,2.84,934278,80830,26212,8157,22282,4563,1948,1203,4153,5049,1544,546,709,1460,3007,71223,7305,755,419,1063,626,6160,800,802,373,1697,1597,1142,1995,868,5155,4548,881,273,581,1128,257,1997,2661,1907,711,5974,1871,1585,2488,1250,879,4089,992,3354,3038,72091,11420,28653,11655,1467,1824,5245,6941,2399,2488,45688,13320,495,15026,1081,6633,628,8506,108225,2781,1640,974,2402,2602,2026,891,6022,1044,2175,714,1583,2307,953,2946,646,490,3617,1932,1641,4098,1648,9444,2035,2307,1750,1138,2991,4798,568,301,3040,1913,878,2826,5171,2863,5811,787,1626,1411,1005,563,6154,1305,449,1962,43550,6200,4610,809,2805,2381,2980,616,1042,1355,1008,4186,4978,2170,4596,3814,43634,4191,542,496,1623,2072,1121,984,712,594,1209,2714,1286,1343,3332,2274,1556,4890,12695,86712,612,1645,7649,630,7379,2037,1568,7244,6733,3090,4123,2673,6415,1376,9776,23761,132467,20841,15868,4378,6011,14689,1736,5488,1666,2317,11835,1215,2284,2566,1466,7348,1468,31290,65828,4270,634,1643,9955,6592,5179,418,8035,5517,7699,2132,3614,1815,8324,37111,6590,6310,9640,2007,3132,5778,2898,754,146918,7226,6807,3283,10491,18251,4154,11359,5949,5112,49166,5245,10329,9549
11,R11100,埼玉県,さいたま市,3.02,1055306,83194,24077,9800,23709,4016,2256,1487,4512,4584,1568,949,743,1783,3709,72735,6873,907,465,1035,497,5430,897,863,548,2427,1468,1176,2068,1022,5605,4863,794,433,844,763,323,2265,2214,1769,1031,7205,1942,1349,2555,1791,817,3539,1110,3069,2777,91900,19028,34761,16135,2720,1583,4988,7293,2856,2534,50775,16081,798,14500,1500,7990,577,9329,120443,3128,2276,1303,3499,2992,2723,960,7841,985,2714,986,1966,2832,1054,3729,1018,1082,3892,2478,1913,4201,2438,9896,2918,2004,1715,1120,2623,5272,492,385,3114,1680,830,3123,5442,2947,5119,835,1775,2210,982,533,5820,1062,362,2176,41604,5014,4253,733,2842,1504,3076,817,1041,1430,1023,3932,4849,2684,4410,3996,45561,4242,640,402,1498,2178,928,947,672,697,1239,2602,1596,1418,3949,2160,1603,4503,14289,98093,1046,848,8973,1118,8928,2504,2109,8926,7468,4108,4847,2298,6947,1788,10976,25209,145870,18319,14048,5005,6991,17205,2205,6792,1777,2350,10757,1250,2284,2929,1444,9056,5900,37557,63895,4437,1310,1432,8987,6883,5026,390,8597,6766,3790,2099,4069,1566,8543,42719,6419,5312,10482,1922,5629,7221,4523,1212,198517,8061,7146,2848,12449,24558,4922,17397,7259,5820,70345,8677,19835,9201
12,R12100,千葉県,千葉市,3.01,1032661,81387,22785,10799,23263,3389,2277,1441,4582,4513,1840,835,507,1843,3312,78575,7215,1046,564,1370,700,5898,888,793,707,2833,1604,1406,2861,1218,6465,4585,972,472,837,1376,570,1925,2435,1761,944,7016,1980,1320,2811,1641,1021,3519,1382,3277,3167,89772,19157,31716,16148,2417,2295,5129,7304,2716,2888,52170,16853,824,16113,1486,7293,480,9119,122884,2978,2752,1332,3786,2991,3001,988,8190,1134,2674,798,1937,2691,1042,3647,1141,844,3992,2765,1816,3742,2442,10354,2821,2078,1772,1102,2706,4960,345,498,3614,2054,809,3214,5086,2887,5186,989,1819,1927,1022,645,6393,1099,390,2428,41814,4446,4220,779,2777,2522,2752,1222,819,1296,796,4146,4903,2467,4594,4074,46641,4474,655,422,1624,2549,820,905,764,672,1155,2533,1536,1332,4128,2851,1654,4844,13724,89290,823,599,8108,776,7515,2354,1462,8386,6775,3732,4581,2231,6616,1746,10714,22870,140079,17024,13306,5623,6471,17116,2542,6399,1822,2432,11936,1326,2267,3418,1456,10375,2431,34136,64713,4257,965,1715,10263,6435,4574,403,7509,7367,4342,2309,4553,1597,8425,43521,5598,5920,11023,3445,5027,7394,4094,1019,181815,5060,7190,3146,15363,21078,5587,12591,7085,5355,61778,6488,18976,12119
13,R13100,東京都,東京都区部,2.95,1136325,83171,22668,11473,24681,3088,2385,1595,4592,3953,1734,974,590,1958,3481,79988,8373,1174,445,1522,673,5195,734,824,984,2946,1682,1566,2855,1126,7070,5184,868,503,941,1215,459,2141,2250,2058,929,6760,1962,1251,2873,1630,890,3658,1031,3081,3133,101007,25998,33793,17136,2974,2360,5982,7002,3020,2741,52799,16481,880,15139,1712,8303,811,9474,129151,3124,2479,1346,4072,3256,3019,1058,9493,1037,2811,910,2141,2683,984,3817,1147,997,4159,3354,2016,4357,2786,10900,2914,2081,1778,1156,3056,6275,450,402,3618,1784,798,3213,5439,3006,4595,917,1804,1875,1014,657,6412,1059,388,2509,45615,4361,4700,802,2994,1640,3464,1153,1257,1598,994,4478,4682,2397,6436,4659,47289,4371,605,439,1540,2247,903,1022,707,682,1170,2544,1675,1387,4169,2773,1352,4818,14886,95247,925,752,9324,911,8443,2353,1780,9335,6827,4873,4329,2171,7540,1426,10665,23594,154119,20628,14367,5874,8297,17389,3037,7167,2007,2375,11673,1642,2471,3134,1415,7456,3088,42100,63944,4539,1360,1620,7955,7320,4873,349,8217,6355,4548,2292,4905,1151,8459,46351,5359,4781,11810,2424,7509,8032,4540,1897,237644,6657,6890,3340,16575,25138,6855,16282,7222,5465,95222,11470,27206,9321
14,R14100,神奈川県,横浜市,2.84,1049903,83949,24387,11043,23430,3410,2684,1472,4484,4035,1741,1049,713,2026,3478,81371,8096,1279,638,1162,698,5644,874,820,849,3074,1650,1360,2890,1491,7065,5206,864,482,937,1209,457,2064,2170,2267,1148,6521,2066,1373,3179,1924,963,3614,1063,3424,2852,99917,23322,35079,17329,2791,1953,6463,7286,3115,2580,50953,15858,608,14558,1560,7883,733,9753,129043,3370,2585,1360,3891,3082,3120,1024,9141,1124,2947,1038,2038,2765,1114,3963,1220,891,4252,3158,2138,4519,2781,10702,2960,2108,1676,1132,2967,5490,469,488,3451,2042,1017,3390,5631,2980,4659,1004,1872,1740,1084,679,5951,1111,467,2450,45466,5431,4808,903,2674,2306,2940,1346,1144,1416,929,3983,5325,2796,5166,4299,47584,4813,744,452,1715,2196,965,990,730,811,1295,2502,1757,1312,4303,2690,1362,4503,14445,88069,642,596,8355,894,6941,1969,1730,8925,6489,4554,4129,2086,6815,1583,9535,22828,140749,17922,12922,4737,7021,17797,2368,6204,2098,2005,10073,2248,1856,2960,1257,9908,2245,37127,59776,4933,1244,1562,8219,7042,3976,430,7677,6034,3598,1901,4204,1338,7617,45252,6267,6352,11530,2698,5414,7951,3613,1426,177773,5560,5864,2786,14366,25178,7715,17552,4344,4852,56238,8828,19812,4678
