公表年月日,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明,-,合計
2020-01-24,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2020-01-25,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2020-02-14,0,0,0,0,0,1,0,1,0,0,0,0,0,2
2020-02-15,0,0,0,0,2,2,1,2,1,0,0,0,0,8
2020-02-16,0,0,0,2,0,0,3,0,0,0,0,0,0,5
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,1,0,0,1,0,0,1,0,0,0,0,3
2020-02-19,0,0,0,0,0,0,0,3,0,0,0,0,0,3
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,2,0,1,0,0,0,0,0,3
2020-02-22,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,1,1,1,0,0,0,0,0,0,0,3
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,2,1,0,0,0,0,3
2020-02-27,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-03-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-03-04,0,0,0,1,1,1,0,0,1,0,0,0,0,4
2020-03-05,2,0,1,1,0,0,0,2,1,1,0,0,0,8
2020-03-06,0,0,0,2,1,1,0,1,0,1,0,0,0,6
2020-03-07,0,0,0,0,1,3,0,2,0,0,0,0,0,6
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,1,1,0,1,0,0,0,0,0,3
2020-03-11,0,0,0,1,1,2,1,0,1,0,0,0,0,6
2020-03-12,0,0,0,0,0,0,1,1,0,0,0,0,0,2
2020-03-13,0,0,0,0,0,1,0,1,0,0,0,0,0,2
2020-03-14,0,0,0,2,3,1,3,1,0,0,0,0,0,10
2020-03-15,0,0,1,1,0,0,1,0,0,0,0,0,0,3
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,4,5,3,0,0,0,0,0,0,12
2020-03-18,0,0,3,1,3,0,0,2,0,0,0,0,0,9
2020-03-19,0,0,1,0,3,1,1,0,1,0,0,0,0,7
2020-03-20,0,0,2,0,2,3,3,1,0,0,0,0,0,11
2020-03-21,0,0,1,1,3,2,0,0,0,0,0,0,0,7
2020-03-22,0,0,0,1,1,0,1,0,0,0,0,0,0,3
2020-03-23,0,0,0,2,6,3,1,4,0,0,0,0,0,16
2020-03-24,0,1,3,6,2,2,3,1,0,0,0,0,0,18
2020-03-25,0,2,4,4,9,7,8,3,1,3,0,0,0,41
2020-03-26,1,0,5,6,9,6,5,11,2,1,0,0,0,46
2020-03-27,0,0,3,9,11,1,4,7,2,3,0,0,0,40
2020-03-28,1,1,7,8,8,6,10,17,6,0,0,0,0,64
2020-03-29,0,1,19,24,9,9,5,4,1,0,0,0,0,72
2020-03-30,0,1,0,2,6,0,1,1,1,0,0,0,0,12
2020-03-31,2,2,14,20,14,11,6,5,3,1,0,0,0,78
2020-04-01,0,1,10,16,19,11,8,2,0,0,0,0,0,67
2020-04-02,2,4,20,16,19,14,9,10,3,1,0,0,0,98
2020-04-03,0,1,11,23,18,14,11,10,4,0,0,0,0,92
2020-04-04,0,2,19,21,18,17,15,16,7,3,0,0,0,118
2020-04-05,0,1,38,34,20,17,13,4,11,3,0,0,0,141
2020-04-06,0,0,18,21,16,11,12,7,0,0,0,0,0,85
2020-04-07,2,1,14,22,18,14,8,5,3,0,0,0,0,87
2020-04-08,0,1,32,36,20,24,18,14,10,1,0,0,0,156
2020-04-09,5,2,20,43,36,31,19,17,10,0,0,0,0,183
2020-04-10,0,2,54,43,30,36,19,10,4,1,0,0,0,199
2020-04-11,1,5,34,37,48,46,18,9,0,0,0,0,0,198
2020-04-12,2,0,24,23,19,20,12,24,26,23,1,0,0,174
2020-04-13,1,1,21,19,17,27,8,4,2,0,0,0,0,100
2020-04-14,2,1,29,24,42,28,19,11,1,1,0,1,0,159
2020-04-15,3,0,19,15,20,25,18,13,14,0,0,0,0,127
2020-04-16,4,3,27,32,23,27,17,10,6,2,0,0,0,151
2020-04-17,2,2,31,34,37,33,26,16,19,4,0,1,1,206
2020-04-18,2,7,31,31,28,36,16,17,13,5,0,0,0,186
2020-04-19,1,1,18,19,20,12,15,16,2,5,0,0,0,109
2020-04-20,1,2,18,20,18,15,10,10,5,2,0,0,0,101
2020-04-21,0,0,22,16,20,29,16,10,7,3,0,0,0,123
2020-04-22,8,2,28,21,12,24,8,14,5,1,0,0,0,123
2020-04-23,2,3,18,26,23,13,12,15,14,8,0,0,0,134
2020-04-24,1,3,40,25,22,27,12,14,14,9,1,1,1,170
2020-04-25,1,3,11,21,17,24,13,8,11,9,0,1,0,119
2020-04-26,1,5,15,5,13,10,9,12,3,9,0,0,0,82
2020-04-27,3,0,9,5,3,6,4,5,2,4,0,0,0,41
2020-04-28,2,3,22,12,13,16,11,17,9,8,0,0,0,113
2020-04-29,4,0,7,7,5,7,4,8,5,0,0,0,0,47
2020-04-30,3,0,11,13,3,4,6,7,7,5,0,0,0,59
2020-05-01,2,1,21,27,17,12,19,18,31,17,0,0,0,165
2020-05-02,2,7,29,18,19,27,19,14,10,7,0,2,0,154
2020-05-03,0,2,17,18,18,15,8,6,9,0,0,0,0,93
2020-05-04,0,0,15,12,8,11,5,13,16,7,0,0,0,87
2020-05-05,2,1,13,7,7,8,8,4,3,4,0,0,0,57
2020-05-06,0,0,6,6,2,5,0,8,7,3,0,0,0,37
2020-05-07,0,0,4,3,3,2,3,4,0,3,1,0,0,23
2020-05-08,0,2,6,10,6,5,2,3,4,1,0,0,0,39
2020-05-09,1,0,11,6,2,7,4,2,2,1,0,0,0,36
2020-05-10,1,0,5,1,3,0,4,2,6,0,0,0,0,22
2020-05-11,0,0,7,0,0,3,1,1,2,0,1,0,0,15
2020-05-12,0,2,4,3,3,2,3,4,3,3,0,0,0,27
2020-05-13,0,0,3,2,2,1,2,0,0,0,0,0,0,10
2020-05-14,0,0,8,6,1,0,2,4,5,4,0,0,0,30
2020-05-15,0,0,2,1,2,1,0,0,1,2,0,0,0,9
2020-05-16,0,0,6,1,0,1,2,2,0,2,0,0,0,14
2020-05-17,0,0,2,1,0,0,0,1,1,0,0,0,0,5
2020-05-18,0,0,2,3,0,0,2,1,2,0,0,0,0,10
2020-05-19,0,0,1,0,2,1,0,1,0,0,0,0,0,5
2020-05-20,0,0,2,0,1,0,0,1,1,0,0,0,0,5
2020-05-21,1,1,3,1,1,1,1,1,1,0,0,0,0,11
2020-05-22,0,0,1,0,0,1,1,0,0,0,0,0,0,3
2020-05-23,0,0,0,1,0,0,1,0,0,0,0,0,0,2
2020-05-24,0,1,4,4,2,1,1,1,0,0,0,0,0,14
2020-05-25,0,0,2,3,0,1,0,0,1,1,0,0,0,8
2020-05-26,0,0,5,1,1,1,2,0,0,0,0,0,0,10
2020-05-27,0,2,1,3,1,1,0,2,0,1,0,0,0,11
2020-05-28,0,2,3,6,1,1,0,0,2,0,0,0,0,15
2020-05-29,0,0,4,7,2,3,1,4,0,0,0,0,0,21
2020-05-30,0,0,4,0,1,2,2,3,2,0,0,0,0,14
2020-05-31,0,0,2,2,1,0,0,0,0,0,0,0,0,5
2020-06-01,0,0,7,2,2,1,0,1,0,0,0,0,0,13
2020-06-02,0,0,9,6,2,3,3,6,4,1,0,0,0,34
2020-06-03,0,0,2,4,4,1,0,1,0,0,0,0,0,12
2020-06-04,0,1,13,9,1,1,1,0,2,0,0,0,0,28
2020-06-05,0,0,8,4,4,3,0,0,1,0,0,0,0,20
2020-06-06,0,0,12,7,3,2,1,1,0,0,0,0,0,26
2020-06-07,0,1,2,4,3,4,0,0,0,0,0,0,0,14
2020-06-08,0,0,8,3,1,1,0,0,0,0,0,0,0,13
2020-06-09,0,1,4,1,1,1,1,1,1,1,0,0,0,12
2020-06-10,0,0,7,5,3,0,1,0,2,0,0,0,0,18
2020-06-11,0,0,12,3,1,1,2,1,2,0,0,0,0,22
2020-06-12,0,0,12,9,0,3,0,0,1,0,0,0,0,25
2020-06-13,0,0,8,7,0,2,3,4,0,0,0,0,0,24
2020-06-14,0,4,26,8,2,1,3,2,1,0,0,0,0,47
2020-06-15,0,0,29,8,4,2,4,1,0,0,0,0,0,48
2020-06-16,1,1,14,7,0,2,0,2,0,0,0,0,0,27
2020-06-17,0,0,3,5,2,0,3,1,2,0,0,0,0,16
2020-06-18,0,1,15,12,3,2,5,1,2,0,0,0,0,41
2020-06-19,0,2,14,7,5,1,1,4,1,0,0,0,0,35
2020-06-20,0,1,15,17,3,3,0,0,0,0,0,0,0,39
2020-06-21,0,0,20,11,1,1,0,1,0,0,0,0,0,34
2020-06-22,0,0,14,7,4,2,2,0,0,0,0,0,0,29
2020-06-23,0,0,13,7,4,1,3,3,0,0,0,0,0,31
2020-06-24,0,1,32,9,5,4,3,1,0,0,0,0,0,55
2020-06-25,4,2,20,8,6,5,1,1,0,1,0,0,0,48
2020-06-26,1,1,26,14,7,2,3,0,0,0,0,0,0,54
2020-06-27,0,0,27,14,7,7,0,1,1,0,0,0,0,57
2020-06-28,0,1,33,12,7,4,1,1,0,1,0,0,0,60
2020-06-29,0,1,32,14,4,2,0,1,2,2,0,0,0,58
2020-06-30,2,5,16,10,8,7,2,3,1,0,0,0,0,54
2020-07-01,2,2,35,14,9,3,2,0,0,0,0,0,0,67
2020-07-02,3,2,37,34,11,10,2,3,2,3,0,0,0,107
2020-07-03,0,4,60,37,9,6,4,2,1,1,0,0,0,124
2020-07-04,4,4,74,24,15,3,2,2,2,1,0,0,0,131
2020-07-05,1,4,49,24,14,6,2,3,3,4,1,0,0,111
2020-07-06,0,3,53,19,12,11,3,0,1,0,0,0,0,102
2020-07-07,4,5,43,27,15,6,6,0,0,0,0,0,0,106
2020-07-08,4,4,33,17,10,6,1,0,0,0,0,0,0,75
2020-07-09,10,4,109,60,18,12,7,3,1,0,0,0,0,224
2020-07-10,2,7,126,60,22,13,8,4,1,0,0,0,0,243
2020-07-11,12,3,90,54,22,15,5,4,1,0,0,0,0,206
2020-07-12,14,7,87,46,20,9,11,5,2,5,0,0,0,206
2020-07-13,0,3,51,33,15,12,2,2,0,0,0,0,0,118
2020-07-14,7,6,64,29,16,10,7,2,2,0,0,0,0,143
2020-07-15,7,3,69,36,24,8,8,8,2,0,0,0,0,165
2020-07-16,5,9,139,57,31,20,15,4,4,2,0,0,0,286
2020-07-17,1,6,147,63,34,24,5,5,5,3,0,0,0,293
2020-07-18,4,9,125,64,40,21,10,5,8,4,0,0,0,290
2020-07-19,3,3,84,45,26,13,7,6,1,0,0,0,0,188
2020-07-20,1,2,69,39,27,13,8,5,3,1,0,0,0,168
2020-07-21,0,4,83,54,37,30,11,10,8,0,0,0,0,237
2020-07-22,8,9,86,58,31,20,14,10,2,0,0,0,0,238
2020-07-23,9,15,139,93,51,23,15,15,5,1,0,0,0,366
2020-07-24,2,4,108,78,32,23,6,4,2,1,0,0,0,260
2020-07-25,6,14,119,66,48,27,7,6,1,1,0,0,0,295
2020-07-26,1,3,89,59,29,23,11,15,6,3,0,0,0,239
2020-07-27,1,4,55,24,23,11,7,2,4,0,0,0,0,131
2020-07-28,4,9,101,67,29,36,6,7,6,1,0,0,0,266
2020-07-29,3,6,100,60,38,18,15,6,3,1,0,0,0,250
2020-07-30,2,9,147,89,53,30,13,16,5,3,0,0,0,367
2020-07-31,4,6,212,120,57,25,27,9,2,0,0,0,0,462
2020-08-01,9,15,216,108,51,38,21,7,6,1,0,0,0,472
2020-08-02,2,9,138,65,40,20,9,3,4,1,1,0,0,292
2020-08-03,3,9,110,60,30,23,10,5,4,4,0,0,0,258
2020-08-04,3,11,130,63,40,25,14,12,7,4,0,0,0,309
2020-08-05,7,11,89,74,28,24,19,6,2,3,0,0,0,263
2020-08-06,6,14,134,95,43,29,23,11,5,0,0,0,0,360
2020-08-07,2,19,186,118,67,33,19,11,6,0,0,0,0,461
2020-08-08,7,15,164,110,54,41,15,14,4,5,0,0,0,429
2020-08-09,7,8,133,79,43,29,10,18,2,1,1,0,0,331
2020-08-10,6,8,65,45,34,22,5,7,5,0,0,0,0,197
2020-08-11,4,18,69,39,22,19,7,6,4,0,0,0,0,188
2020-08-12,5,4,78,57,33,19,5,9,11,1,0,0,0,222
2020-08-13,6,10,69,38,31,22,16,9,3,2,0,0,0,206
2020-08-14,6,9,129,97,58,38,23,18,10,1,0,0,0,389
2020-08-15,9,17,120,84,55,48,21,18,12,1,0,0,0,385
2020-08-16,9,16,84,53,36,25,23,11,3,0,0,0,0,260
2020-08-17,1,6,44,36,25,22,10,12,4,1,0,0,0,161
2020-08-18,5,5,77,34,34,20,12,12,7,1,0,0,0,207
2020-08-19,3,8,60,44,18,29,11,6,6,1,0,0,0,186
2020-08-20,6,10,111,72,50,37,21,19,10,3,0,0,0,339
2020-08-21,9,10,83,54,40,33,12,9,8,0,0,0,0,258
2020-08-22,4,5,100,64,30,25,12,6,10,0,0,0,0,256
2020-08-23,5,5,66,43,29,28,19,6,4,7,0,0,0,212
2020-08-24,0,3,29,25,14,11,5,0,5,3,0,0,0,95
2020-08-25,3,9,49,33,33,25,12,10,7,1,0,0,0,182
2020-08-26,6,5,65,52,36,32,24,8,7,1,0,0,0,236
2020-08-27,10,19,79,50,37,23,9,11,10,2,0,0,0,250
2020-08-28,8,8,63,46,31,35,16,5,12,2,0,0,0,226
2020-08-29,5,15,72,42,44,26,22,10,7,3,1,0,0,247
2020-08-30,3,6,41,37,23,16,8,4,6,4,0,0,0,148
2020-08-31,5,1,31,19,18,12,6,5,2,1,0,0,0,100
2020-09-01,2,10,48,38,28,17,15,6,5,1,0,0,0,170
2020-09-02,13,2,35,30,22,18,10,6,5,0,0,0,0,141
2020-09-03,4,12,62,45,30,30,7,9,7,5,0,0,0,211
2020-09-04,1,4,49,28,25,14,7,5,3,0,0,0,0,136
2020-09-05,10,10,37,37,35,24,13,7,5,3,0,0,0,181
2020-09-06,3,11,19,23,21,15,13,4,6,1,0,0,0,116
2020-09-07,3,0,19,17,11,15,7,3,1,0,0,0,0,76
2020-09-08,4,7,41,45,32,18,8,6,6,2,1,0,0,170
2020-09-09,3,9,39,39,24,18,6,7,3,1,0,0,0,149
2020-09-10,1,10,56,71,57,38,23,10,7,3,0,0,0,276
2020-09-11,3,7,48,45,30,30,12,6,5,1,0,0,0,187
2020-09-12,8,8,51,55,53,24,10,3,10,4,0,0,0,226
2020-09-13,2,7,43,27,25,21,6,8,4,3,0,0,0,146
2020-09-14,2,4,17,16,13,15,5,5,2,1,0,0,0,80
2020-09-15,5,12,43,38,33,30,12,8,8,2,0,0,0,191
2020-09-16,7,8,33,26,34,24,11,13,7,0,0,0,0,163
2020-09-17,4,10,44,34,30,25,10,8,5,1,0,0,0,171
2020-09-18,7,8,49,53,35,32,11,12,9,4,0,0,0,220
2020-09-19,3,11,51,40,45,33,18,12,4,1,0,0,0,218
2020-09-20,4,10,37,32,40,16,7,12,3,1,0,0,0,162
2020-09-21,1,2,29,17,12,13,8,10,5,0,0,0,0,97
2020-09-22,1,2,22,18,17,12,4,6,4,2,0,0,0,88
2020-09-23,1,3,10,16,14,3,4,7,1,0,0,0,0,59
2020-09-24,6,13,53,38,32,27,11,5,4,4,0,0,0,193
2020-09-25,5,14,46,39,40,23,16,7,3,2,0,0,0,195
2020-09-26,10,8,62,52,51,35,18,20,11,2,0,0,0,269
2020-09-27,4,6,36,32,20,18,14,10,1,3,0,0,0,144
2020-09-28,1,2,26,15,13,9,4,2,3,3,0,0,0,78
2020-09-29,7,7,52,39,33,31,15,18,6,3,0,0,0,211
2020-09-30,7,10,46,44,32,21,11,12,9,2,0,0,0,194
2020-10-01,4,9,60,48,36,31,15,14,14,3,0,0,0,234
2020-10-02,7,11,48,47,25,21,17,12,6,2,0,0,0,196
2020-10-03,5,6,60,43,36,20,14,14,5,2,0,0,0,205
2020-10-04,2,5,31,14,21,15,6,8,4,1,0,0,0,107
2020-10-05,2,3,17,13,9,11,4,3,3,0,0,0,0,65
2020-10-06,6,10,44,37,30,23,6,9,9,2,0,0,0,176
2020-10-07,1,2,28,30,20,27,10,12,8,2,0,0,0,140
2020-10-08,4,8,49,61,42,39,20,16,9,0,0,0,0,248
2020-10-09,3,16,60,43,26,28,9,11,4,2,1,0,0,203
2020-10-10,6,23,64,42,32,31,17,18,14,1,0,0,0,248
2020-10-11,2,13,38,34,23,18,7,10,1,0,0,0,0,146
2020-10-12,2,3,20,18,20,9,3,2,1,0,0,0,0,78
2020-10-13,8,11,37,33,28,24,9,8,4,4,0,0,0,166
2020-10-14,2,16,47,23,27,18,13,14,15,2,0,0,0,177
2020-10-15,4,16,69,67,42,31,20,15,15,5,0,0,0,284
2020-10-16,1,17,45,36,27,25,17,8,7,0,0,0,0,183
2020-10-17,6,13,64,44,36,30,11,18,10,3,0,0,0,235
2020-10-18,3,4,25,28,24,15,18,6,7,2,0,0,0,132
2020-10-19,1,3,20,18,14,11,6,3,2,0,0,0,0,78
2020-10-20,2,6,31,35,21,18,13,8,2,3,0,0,0,139
2020-10-21,2,1,32,32,20,22,15,7,11,3,0,0,0,145
2020-10-22,3,12,42,42,25,27,18,9,5,2,0,0,0,185
2020-10-23,0,8,50,28,36,27,12,12,8,5,0,0,0,186
2020-10-24,1,13,61,40,25,24,17,14,6,0,0,0,0,201
2020-10-25,4,4,30,31,20,12,13,10,0,0,0,0,0,124
2020-10-26,1,4,27,22,20,13,6,5,4,0,0,0,0,102
2020-10-27,2,7,41,24,17,31,11,16,7,2,0,0,0,158
2020-10-28,0,12,41,31,28,23,12,16,6,2,0,0,0,171
2020-10-29,2,4,57,48,41,29,20,9,8,2,0,0,0,220
2020-10-30,4,10,54,38,36,27,21,8,2,3,0,0,0,203
2020-10-31,4,10,42,51,36,29,19,13,11,0,0,0,0,215
2020-11-01,3,8,37,20,16,15,6,8,3,0,0,0,0,116
2020-11-02,1,4,25,19,14,7,7,6,4,0,0,0,0,87
2020-11-03,3,12,55,42,34,36,12,9,5,1,0,0,0,209
2020-11-04,4,6,31,22,17,15,8,11,5,3,0,0,0,122
2020-11-05,3,15,77,55,50,28,16,14,10,1,0,0,0,269
2020-11-06,0,12,59,52,44,28,15,19,11,2,0,0,0,242
2020-11-07,3,24,81,55,48,33,19,19,10,2,0,0,0,294
2020-11-08,8,17,39,34,37,21,13,15,5,0,0,0,0,189
2020-11-09,5,8,33,24,27,28,12,10,7,3,0,0,0,157
2020-11-10,2,5,70,60,53,45,26,20,5,7,0,0,0,293
2020-11-11,4,19,61,68,58,43,34,17,12,0,0,0,0,316
2020-11-12,14,22,93,89,70,48,25,19,9,3,0,0,0,392
2020-11-13,9,26,100,66,53,60,24,26,10,0,0,0,0,374
2020-11-14,4,22,103,76,43,44,21,20,12,7,0,0,0,352
2020-11-15,4,15,68,47,42,43,18,12,5,1,0,0,0,255
2020-11-16,6,8,39,34,30,28,15,12,8,0,0,0,0,180
2020-11-17,4,10,81,50,50,48,30,18,4,3,0,0,0,298
2020-11-18,6,20,123,92,85,63,38,30,25,3,0,0,0,485
2020-11-19,4,27,130,110,96,80,31,42,10,3,0,0,0,533
2020-11-20,8,20,122,89,84,92,54,33,19,1,0,0,0,522
2020-11-21,11,26,139,110,105,68,36,32,11,1,0,0,0,539
2020-11-22,9,19,129,72,45,52,37,14,8,6,0,0,0,391
2020-11-23,5,31,65,58,41,63,24,17,9,1,0,0,0,314
2020-11-24,10,8,53,29,22,21,13,15,11,4,0,0,0,186
2020-11-25,6,22,101,73,60,65,39,23,9,3,0,0,0,401
2020-11-26,12,33,111,79,82,69,32,35,20,8,0,0,0,481
2020-11-27,14,33,147,120,76,67,47,39,22,4,1,0,0,570
2020-11-28,12,31,132,102,90,83,50,37,20,4,0,0,0,561
2020-11-29,10,22,110,70,80,51,32,25,12,6,0,0,0,418
2020-11-30,7,17,68,51,69,32,27,14,23,3,0,0,0,311
2020-12-01,5,25,93,81,58,38,23,18,24,7,0,0,0,372
2020-12-02,20,30,125,81,75,62,37,36,27,6,1,0,0,500
